currdate,vol.pct.all,vol.pct.ma.all,TOP.vol.pct,TOP.vol.pct.ma,OUT.vol.pct,OUT.vol.pct.ma
8/24/2009,0.452923785,0.492519099,0.668647875,0.757243982,0.42757923,0.449867694
8/25/2009,0.47673129,0.492502244,0.727034649,0.755748146,0.447995749,0.451111373
8/26/2009,0.48231193,0.492066239,0.777590764,0.755404538,0.443998557,0.450451856
8/27/2009,0.405804328,0.486124994,0.754897597,0.755119091,0.375474322,0.445656076
8/28/2009,0.415069836,0.481401433,0.682324691,0.754607326,0.384834767,0.441650629
8/31/2009,0.443508511,0.478207868,0.7364614,0.751910805,0.377444655,0.437981818
9/1/2009,0.420203881,0.473579097,0.736592704,0.752348092,0.373619454,0.433395341
9/2/2009,0.46304224,0.471610164,0.686154676,0.750660606,0.425868218,0.432067539
9/3/2009,0.465757875,0.470287371,0.900282882,0.764448338,0.425251466,0.430026114
9/4/2009,0.367871127,0.466128066,0.504137915,0.752988471,0.360083391,0.427633147
9/8/2009,0.422081402,0.464010066,0.442391072,0.737499204,0.421203281,0.427430878
9/9/2009,0.433455704,0.460046401,0.672511951,0.732814598,0.399567623,0.423932267
9/10/2009,0.488197187,0.456649351,0.830339955,0.736637786,0.443122747,0.420556564
9/11/2009,0.460512405,0.453800621,0.705576212,0.73108299,0.418297036,0.41699682
9/14/2009,0.42198857,0.45125992,0.725899171,0.724311331,0.391858698,0.414723349
9/15/2009,0.48783175,0.450718059,0.758424927,0.719814408,0.434018603,0.414158704
9/16/2009,0.459018308,0.449064379,0.680020557,0.7160704,0.412827396,0.412132877
9/17/2009,0.462037617,0.447389549,0.714686999,0.71041595,0.408628101,0.410443758
9/18/2009,0.437582796,0.444141315,0.855784955,0.716074876,0.410117663,0.407313786
9/21/2009,0.476962977,0.447144676,0.726104149,0.714293255,0.449399599,0.411559528
9/22/2009,0.48686179,0.448841576,0.666223202,0.714172021,0.447684759,0.412564804
9/23/2009,0.467910608,0.448400542,0.667454423,0.71119301,0.450501633,0.412690098
9/24/2009,0.451399543,0.446854923,0.710112808,0.707819112,0.425421585,0.41176125
9/25/2009,0.449907914,0.449060102,0.792927742,0.70972062,0.411032586,0.413539163
9/28/2009,0.450045036,0.450808862,0.637334324,0.707471101,0.432388892,0.415916869
9/29/2009,0.47093563,0.452180218,0.710429857,0.706169524,0.436851056,0.418887189
9/30/2009,0.447237722,0.45353191,0.75663563,0.70717167,0.39412641,0.419912537
10/1/2009,0.44892027,0.452825812,0.66400654,0.706064264,0.413563389,0.419297296
10/2/2009,0.410681012,0.450071968,0.69189278,0.695644759,0.37529143,0.416799294
10/5/2009,0.417075377,0.452532181,0.537045785,0.697290152,0.402894779,0.418939863
10/6/2009,0.448433089,0.453849765,0.682389066,0.709290052,0.417070592,0.418733229
10/7/2009,0.471804117,0.455767186,0.768498326,0.71408937,0.438959665,0.420702831
10/8/2009,0.494545012,0.456084577,0.775840751,0.71136441,0.44416615,0.420755001
10/9/2009,0.396231583,0.452870536,0.903184575,0.721244828,0.3726798,0.418474139
10/13/2009,0.441914995,0.453866857,0.737062983,0.721803019,0.414774586,0.419619934
